sentence,SALES,SUBSCRIPTION,TECHNICAL,BILLING,OTHER,Label
Can I transfer my subscription to a different individual within my company?,0,1,0,0,0,2
I need to update the payment details for my subscription how can I do that?,0,0,0,1,0,4
Is there a user forum where I can ask questions and share customizations?,0,0,0,0,1,5
Can I pause my subscription and extend the subscription period accordingly?,0,1,0,0,0,2
I have suggestions for expanding the product's reporting and analytics features,0,0,0,0,1,5
Can you provide testimonials from satisfied customers in our industry?,1,0,0,0,0,1
What are the available add-ons or upgrades for my current subscription?,0,1,0,0,0,2
I'm encountering compatibility issues with the software and my operating system,0,0,1,0,0,3
I have a question about the payment terms and due dates on my invoice,0,0,0,1,0,4
Is there a dedicated account manager for enterprise-level subscriptions?,1,0,0,0,0,1
Can I switch my subscription to a different product within your product lineup?,0,1,0,0,0,2
I accidentally deleted a folder containing important files can it be recovered?,0,0,1,0,0,3
I have feedback on improving the product's error handling and messaging,0,0,0,0,1,5
Are there any limited-time promotions or discounts available?,1,0,0,0,0,1
Can I transfer my subscription to another branch or location within my organization?,0,1,0,0,0,2
How can I troubleshoot issues with the software's performance on my device?,0,0,1,0,0,3
I'm having difficulty understanding the breakdown of taxes and fees on my bill,0,0,0,1,0,4
Do you provide personalized training sessions for enterprise customers?,1,0,0,0,0,1
Can I transfer my subscription to another team member within my organization?,0,1,0,0,0,2
I need to update the credit card information associated with my subscription,0,0,0,1,0,4
Is there a user community or online forum for sharing tips and tricks?,0,0,0,0,1,5
Can I temporarily suspend my subscription and resume it at a later date?,0,1,0,0,0,2
I have ideas for improving the product's user interface and navigation,0,0,0,0,1,5
Can you provide a comparison of your product with competitors in the market?,1,0,0,0,0,1
What are the renewal options for my subscription once it expires?,0,1,0,0,0,2
I'm experiencing frequent crashes and errors with the software,0,0,1,0,0,3
I have a question about the late payment charges on my invoice,0,0,0,1,0,4
Is there a dedicated support line for priority or VIP customers?,1,0,0,0,0,1
Can I upgrade my subscription to a higher tier for additional features?,0,1,0,0,0,2
I accidentally overwritten an important document can it be recovered?,0,0,1,0,0,3
I have suggestions for enhancing the product's error reporting and logging,0,0,0,0,1,5
Are there any special promotions for customers who refer new businesses?,1,0,0,0,0,1
Can I transfer my subscription to a different account within my organization?,0,1,0,0,0,2
How can I troubleshoot integration issues with third-party services?,0,0,1,0,0,3
I'm having trouble understanding the breakdown of fees and charges on my bill,0,0,0,1,0,4
Do you offer customized training programs tailored to our specific needs?,1,0,0,0,0,1
Can I transfer my subscription to another business unit within my company?,0,1,0,0,0,2
I need to update the billing email address for my subscription how can I do that?,0,0,0,1,0,4
Is there a user community for sharing ideas and requesting new features?,0,0,0,0,1,5
Can I temporarily pause my subscription and resume it at a later date without any penalty?,0,1,0,0,0,2
I have suggestions for improving the product's performance and response time,0,0,0,0,1,5
Can you provide a demo tailored to our specific business needs?,1,0,0,0,0,1
What are the options for upgrading my subscription to a higher plan?,0,1,0,0,0,2
I'm encountering a connectivity issue when trying to access the software,0,0,1,0,0,3
I have a question about the payment methods accepted for my invoice,0,0,0,1,0,4
Is there a dedicated account manager for key enterprise customers?,1,0,0,0,0,1
Can I switch my subscription to a different edition of the product?,0,1,0,0,0,2
I accidentally moved an important file to the wrong folder can it be retrieved?,0,0,1,0,0,3
I have feedback on improving the product's user onboarding experience,0,0,0,0,1,5
Are there any special discounts available for non-profit organizations?,1,0,0,0,0,1
Can I transfer my subscription to a different department within my company?,0,1,0,0,0,2
How can I troubleshoot synchronization issues with external applications?,0,0,1,0,0,3
I'm having difficulty understanding the itemized charges and taxes on my bill,0,0,0,1,0,4
Do you provide personalized onboarding sessions for enterprise clients?,1,0,0,0,0,1
Can I transfer my subscription to another team or project within my organization?,0,1,0,0,0,2
I need to update the billing contact information for my subscription how can I do that?,0,0,0,1,0,4
Is there a user forum where I can seek help from other users and experts?,0,0,0,0,1,5
Can I temporarily downgrade my subscription to a lower plan and upgrade later?,0,1,0,0,0,2
I have ideas for enhancing the product's collaboration and communication features,0,0,0,0,1,5
Can you provide information about the product's compatibility with different operating systems?,0,0,1,0,0,3
I have a question regarding the refund policy for my subscription,0,1,0,0,0,2
Is there a dedicated technical support team available for assistance?,0,0,1,0,0,3
I'm having trouble accessing my account and need help resetting my password,0,0,1,0,0,3
Can you provide a breakdown of the taxes and fees on my invoice?,0,0,0,1,0,4
I'm interested in learning more about the product's security features and protocols,0,0,1,0,0,3
Is there a trial period available for testing the product before committing to a subscription?,1,0,0,0,0,1
Can I transfer my subscription to another company or organization?,0,1,0,0,0,2
How can I troubleshoot performance issues with the software on my device?,0,0,1,0,0,3
I have a question about the payment due dates and grace period for my invoice,0,0,0,1,0,4
Do you offer training sessions or webinars to help users maximize the product's potential?,1,0,0,0,0,1
Can I switch my subscription to a different pricing model or billing cycle?,0,1,0,0,0,2
I accidentally deleted a project folder can it be restored from a backup?,0,0,1,0,0,3
I have suggestions for improving the product's reporting and analytics capabilities,0,0,0,0,1,5
Are there any promotional offers or discounts for annual subscription commitments?,1,0,0,0,0,1
Can I transfer my subscription to a different user within my organization?,0,1,0,0,0,2
I need to update the payment method associated with my subscription how can I do that?,0,0,0,1,0,4
Is there a user community where I can share feedback and feature requests?,0,0,0,0,1,5
Can I temporarily suspend my subscription while I'm on vacation or not using the product?,0,1,0,0,0,2
I have ideas for enhancing the product's user experience and interface design,0,0,0,0,1,5
